HyperGCN_0.01_0.0_1,63.478 ± 23.434,63.560 ± 23.668,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_0.0_1,70.497 ± 21.999,69.226 ± 22.160,202, 0.09s, 0.01s,0.0min0.09s
HyperGCN_0.01_0.0_1,64.130 ± 23.129,64.211 ± 21.171,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_0.0_1,66.491 ± 23.568,66.904 ± 23.597,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_0.0_1,80.621 ± 22.701,80.743 ± 23.571,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_0.0_1,85.373 ± 19.443,84.799 ± 20.476,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_0.0_1,76.739 ± 24.598,76.192 ± 25.031,202, 0.08s, 0.01s,0.0min0.08s
STANDARD_GCN_0.02_0.005_0,94.720 ± nan,94.427 ± nan,6594, 2.91s, 0.00s,0.0min2.91s
STANDARD_GCN_0.02_0.005_0,52.174 ± nan,47.678 ± nan,6594, 2.99s, 0.00s,0.0min2.99s
STANDARD_GCN_0.02_0.005_0,54.658 ± nan,53.870 ± nan,6594, 2.82s, 0.00s,0.0min2.82s
STANDARD_GCN_0.02_0.005_0,93.789 ± nan,95.975 ± nan,6594, 2.92s, 0.00s,0.0min2.92s
STANDARD_GCN_0.02_0.005_0,81.366 ± nan,77.399 ± nan,6594, 4.02s, 0.00s,0.0min4.02s
STANDARD_GCN_0.02_0.005_0,78.571 ± nan,83.901 ± nan,6594, 4.04s, 0.00s,0.0min4.04s
STANDARD_GCN_0.02_0.005_0,81.988 ± nan,79.257 ± nan,6594, 3.95s, 0.00s,0.0min3.95s
STANDARD_GCN_0.02_0.005_0,95.342 ± nan,95.356 ± nan,6594, 2.54s, 0.00s,0.0min2.54s
STANDARD_GCN_0.02_0.005_0,99.379 ± nan,98.142 ± nan,53252, 477.73s, 0.00s,7.0min57.73s
STANDARD_GCN_0.02_0.005_0,55.901 ± nan,57.585 ± nan,6594, 2.01s, 0.00s,0.0min2.01s
AllDeepSets_0.01_1e-05_1,100.000 ± 0.000,99.752 ± 0.404,37066, 29.80s, 1.56s,0.0min29.80s
HyperGCN_0.01_1e-05_1,78.571 ± 26.586,77.214 ± 28.149,202, 0.93s, 0.06s,0.0min0.93s
HCHA_0.01_1e-05_1,76.149 ± 1.062,73.189 ± 2.623,6594, 15.19s, 1.15s,0.0min15.19s
HGNN_0.001_0.0_1,75.839 ± 1.413,75.108 ± 1.129,6594, 17.64s, 2.42s,0.0min17.64s
HNHN_0.01_1e-05_1,96.770 ± 0.921,97.337 ± 1.017,6594, 13.19s, 2.21s,0.0min13.19s
CEGCN_0.001_0.0_1,60.683 ± 1.765,57.214 ± 1.187,52738, 173.33s, 7.71s,2.0min53.33s
