AllDeepSets_0.01_0.0_1,97.061 ± 1.461,96.982 ± 1.345,31918, 25.78s, 5.05s,0.0min25.78s
AllDeepSets_0.01_0.0_1,99.951 ± nan,100.000 ± nan,31918, 117.88s, 0.00s,1.0min57.88s
AllDeepSets_0.01_0.0_1,98.392 ± 1.394,98.359 ± 1.175,31918, 87.09s, 11.92s,1.0min27.09s
AllDeepSets_0.01_0.005_1,98.162 ± 1.489,98.277 ± 1.372,31918, 82.34s, 8.56s,1.0min22.34s
AllDeepSets_0.01_0.005_1,98.075 ± 0.887,98.006 ± 0.924,31918, 84.36s, 9.13s,1.0min24.36s
HGNN_0.01_0.005_1,97.144 ± nan,98.031 ± nan,1602, 19.67s, 0.00s,0.0min19.67s
HGNN_0.01_0.005_1,92.516 ± nan,93.501 ± nan,1602, 4.21s, 0.00s,0.0min4.21s
HGNN_0.01_0.005_1,98.375 ± nan,98.277 ± nan,1602, 43.94s, 0.00s,0.0min43.94s
HGNN_0.01_0.005_1,95.224 ± nan,95.421 ± nan,1602, 8.65s, 0.00s,0.0min8.65s
HGNN_0.01_0.005_1,98.523 ± nan,97.686 ± nan,1602, 21.16s, 0.00s,0.0min21.16s
HGNN_0.01_0.005_1,97.774 ± 0.363,97.755 ± 0.382,1602, 36.13s, 14.88s,0.0min36.13s
HGNN_0.01_0.005_1,97.899 ± 0.243,97.571 ± 0.114,1602, 25.69s, 1.43s,0.0min25.69s
HNHN_0.01_0.005_1,95.194 ± 0.470,95.716 ± 0.634,1602, 17.27s, 1.56s,0.0min17.27s
HNHN_0.02_0.005_1,97.174 ± 0.395,97.322 ± 0.213,1602, 23.57s, 3.30s,0.0min23.57s
HNHN_0.02_0.005_1,97.745 ± 0.357,97.893 ± 0.380,1602, 36.45s, 1.45s,0.0min36.45s
HGNN_0.02_0.005_1,98.218 ± 0.240,97.725 ± 0.257,1602, 18.52s, 2.70s,0.0min18.52s
HCHA_0.02_0.005_1,97.676 ± 0.338,97.971 ± 0.282,1602, 17.95s, 0.71s,0.0min17.95s
CEGCN_0.02_0.005_1,94.613 ± 0.419,94.564 ± 0.539,1602, 708.48s, 115.85s,11.0min48.48s
HyperGCN_0.02_0.005_1,86.775 ± 20.640,86.381 ± 21.161,46, 1.77s, 0.04s,0.0min1.77s
HyperGCN_0.02_0.005_1,86.864 ± 21.188,85.987 ± 21.317,46, 4.36s, 0.08s,0.0min4.36s
AllDeepSets_0.001_0.0_1,100.000 ± 0.000,99.961 ± 0.041,471598, 578.32s, 37.62s,9.0min38.32s
HyperGCN_0.001_0.0_1,73.895 ± 20.649,73.471 ± 19.836,46, 4.94s, 0.76s,0.0min4.94s
HCHA_0.001_0.0_1,98.897 ± 0.486,98.897 ± 0.465,12802, 157.47s, 11.35s,2.0min37.47s
HGNN_0.001_0.0_1,98.769 ± 0.239,98.464 ± 0.420,12802, 165.25s, 9.00s,2.0min45.25s
HNHN_0.001_0.0_1,91.649 ± 1.676,91.137 ± 2.029,3202, 79.06s, 17.07s,1.0min19.06s
CEGCN_0.01_1e-05_1,95.441 ± 0.523,95.431 ± 0.780,1602, 1526.35s, 286.58s,25.0min26.35s
STANDARD_GCN_0.02_0.005_0,99.311 ± nan,98.917 ± nan,3138, 2.12s, 0.00s,0.0min2.12s
