STANDARD_GCN_0.001_0_0,76.514 ± nan,77.843 ± nan,738318, 101.42s, 0.00s,1.0min41.42s
STANDARD_GCN_0.001_0_0,77.903 ± 1.565,77.607 ± 2.581,738318, 179.45s, 3.02s,2.0min59.45s
