STANDARD_GCN_0.001_0_0,88.823 ± nan,88.429 ± nan,1602, 122.41s, 0.00s,2.0min2.41s
STANDARD_GCN_0.001_0_0,90.763 ± 2.672,91.147 ± 2.005,1602, 646.62s, 49.99s,10.0min46.62s
